commodity,flow,reporter,partner,reporter_name,partner_name,is_world,partner_is_group,partner_is_hub,reporter_is_hub,value_usd,net_kg
2504,M,124,450,Canada,Madagascar,False,False,False,False,14171.329,20466.788
2504,M,124,484,Canada,Mexico,False,False,False,False,143489.71,209000.0
2504,M,124,490,Canada,"Other Asia, nes",False,False,False,False,7193.079,14017.966
2504,M,124,508,Canada,Mozambique,False,False,False,False,1220.823,1000.0
2504,M,124,528,Canada,Netherlands,False,False,True,False,191.124,3763.475
2504,M,124,554,Canada,New Zealand,False,False,False,False,66.671,14.218
2504,M,124,566,Canada,Nigeria,False,False,False,False,25.187,495.962
2504,M,124,699,Canada,India,False,False,False,False,837.094,1000.0
2504,M,124,704,Canada,Viet Nam,False,False,False,False,7810.899,4000.0
2504,M,124,752,Canada,Sweden,False,False,False,False,522.258,3069.197
2504,M,124,757,Canada,Switzerland,False,False,False,False,8240.558,1000.0
2504,M,124,784,Canada,United Arab Emirates,False,False,True,False,327865.89,53820000.0
2504,M,124,826,Canada,United Kingdom,False,False,False,False,2010.506,31040.128
2504,M,124,842,Canada,USA,False,False,False,False,2746443.629,27915671.745
2504,M,124,858,Canada,Uruguay,False,False,False,False,3200.957,400000.0
2504,M,152,76,Chile,Brazil,False,False,False,False,73478.18,50186.5
2504,M,152,156,Chile,China,False,False,False,False,36456.22,9686.93
2504,M,152,246,Chile,Finland,False,False,False,False,38193.77,1800.0
2504,M,152,484,Chile,Mexico,False,False,False,False,1457.22,500.0
2504,M,152,604,Chile,Peru,False,False,False,False,4370.247,2000.0
2504,M,152,699,Chile,India,False,False,False,False,49213.62,1969.461
2504,M,152,724,Chile,Spain,False,False,False,False,1322.33,1.0
2504,M,152,826,Chile,United Kingdom,False,False,False,False,164.84,3.3
2504,M,152,842,Chile,USA,False,False,False,False,18561.09,3438.306
2504,M,156,36,China,Australia,False,False,False,False,14879.0,2147.0
2504,M,156,40,China,Austria,False,False,False,False,4.0,1.0
2504,M,156,56,China,Belgium,False,False,True,False,1068.0,104.0
2504,M,156,76,China,Brazil,False,False,False,False,4307.0,800.0
2504,M,156,124,China,Canada,False,False,False,False,35910.0,13682.0
2504,M,156,144,China,Sri Lanka,False,False,False,False,127718.0,52460.0
2504,M,156,156,China,China,False,False,False,False,739223.0,470939.0
2504,M,156,170,China,Colombia,False,False,False,False,149.0,1.0
2504,M,156,233,China,Estonia,False,False,False,False,1482.0,2259.332
2504,M,156,276,China,Germany,False,False,False,False,949718.0,256901.559
2504,M,156,324,China,Guinea,False,False,False,False,22162.0,800.0
2504,M,156,360,China,Indonesia,False,False,False,False,69.0,3.0
2504,M,156,364,China,Iran,False,False,False,False,30.0,2.0
2504,M,156,380,China,Italy,False,False,False,False,48521.0,89678.046
2504,M,156,392,China,Japan,False,False,False,False,1114385.0,255563.0
2504,M,156,410,China,Rep. of Korea,False,False,False,False,341490.0,102174.395
2504,M,156,450,China,Madagascar,False,False,False,False,16558336.0,24895201.0
2504,M,156,484,China,Mexico,False,False,False,False,11529.0,6349.0
2504,M,156,490,China,"Other Asia, nes",False,False,False,False,81463.0,7123.988
2504,M,156,508,China,Mozambique,False,False,False,False,31814760.0,55154710.0
2504,M,156,528,China,Netherlands,False,False,True,False,14904.0,6370.855
2504,M,156,579,China,Norway,False,False,False,False,392070.0,173000.0
2504,M,156,586,China,Pakistan,False,False,False,False,320.0,29.0
2504,M,156,620,China,Portugal,False,False,False,False,3153.0,55.0
2504,M,156,643,China,Russian Federation,False,False,False,False,5980.0,23000.0
2504,M,156,699,China,India,False,False,False,False,261.0,116.721
2504,M,156,704,China,Viet Nam,False,False,False,False,120942.0,250016.0
2504,M,156,716,China,Zimbabwe,False,False,False,False,10882.0,1086.0
2504,M,156,752,China,Sweden,False,False,False,False,624.0,50.0
2504,M,156,757,China,Switzerland,False,False,False,False,101049.0,17990.0
2504,M,156,792,China,Türkiye,False,False,False,False,45.0,2.0
2504,M,156,800,China,Uganda,False,False,False,False,16000.0,100000.0
2504,M,156,804,China,Ukraine,False,False,False,False,4474.0,550.0
2504,M,156,826,China,United Kingdom,False,False,False,False,708205.0,190140.0
2504,M,156,834,China,United Rep. of Tanzania,False,False,False,False,4752716.0,10934557.0
2504,M,156,842,China,USA,False,False,False,False,685611.0,136364.678
2504,M,203,40,Czechia,Austria,False,False,False,False,4223.0,1710.918
2504,M,203,56,Czechia,Belgium,False,False,True,False,46.0,4.0
2504,M,203,124,Czechia,Canada,False,False,False,False,88050.0,40910.0
2504,M,203,156,Czechia,China,False,False,False,False,2992562.0,2673898.0
2504,M,203,251,Czechia,France,False,False,False,False,42.0,3.0
2504,M,203,276,Czechia,Germany,False,False,False,False,1061202.0,393546.0
2504,M,203,300,Czechia,Greece,False,False,False,False,46.0,4.0
2504,M,203,380,Czechia,Italy,False,False,False,False,74909.0,23165.476
2504,M,203,392,Czechia,Japan,False,False,False,False,4614.0,270.0
2504,M,203,528,Czechia,Netherlands,False,False,True,False,221860.0,60157.0
2504,M,203,568,Czechia,"Other Europe, nes",False,False,False,False,1114.0,84.0
2504,M,203,579,Czechia,Norway,False,False,False,False,404128.0,568016.0
2504,M,203,616,Czechia,Poland,False,False,False,False,80877.0,96000.0
2504,M,203,724,Czechia,Spain,False,False,False,False,121179.0,41175.0
2504,M,203,752,Czechia,Sweden,False,False,False,False,134.0,10.0
2504,M,203,792,Czechia,Türkiye,False,False,False,False,78920.0,113000.0
2504,M,203,804,Czechia,Ukraine,False,False,False,False,221137.0,312316.0
2504,M,203,826,Czechia,United Kingdom,False,False,False,False,148497.0,115730.432
2504,M,203,842,Czechia,USA,False,False,False,False,4625.0,2461.472
2504,M,203,899,Czechia,"Areas, nes",False,False,False,False,13932.0,23670.0
2504,M,208,156,Denmark,China,False,False,False,False,531.808,3.0
2504,M,208,203,Denmark,Czechia,False,False,False,False,54.139,20.0
2504,M,208,251,Denmark,France,False,False,False,False,15.966,1.0
2504,M,208,276,Denmark,Germany,False,False,False,False,655814.783,176942.0
2504,M,208,380,Denmark,Italy,False,False,False,False,2836.552,56.0
2504,M,208,528,Denmark,Netherlands,False,False,True,False,79131.569,180.0
2504,M,208,579,Denmark,Norway,False,False,False,False,317426.025,255723.01
