commodity,importer,exporter,importer_says,importer_kg,exporter_says,exporter_kg,ratio,excess_gap,abs_gap,usd_discrepancy,importer_name,exporter_name
2504,40,276,3139066.613,1510112.0,4681247.44,3303876.353,0.67056199298023,-0.37622140187885583,0.37622140187885583,1893274.3850000007,Austria,Germany
2504,124,842,2746443.629,27915671.745,3238631.0,2475530.0,0.8480261039309511,-0.2111385079712082,0.2111385079712082,735084.6959999995,Canada,USA
2504,156,392,1114385.0,255563.0,1741133.098,172127.766,0.640034355374709,-0.4046192043025963,0.4046192043025963,757333.08035,China,Japan
2504,203,276,1061202.0,393546.0,2116171.299,1491125.0,0.5014726362187563,-0.5335138267732499,0.5335138267732499,1213682.146425,Czechia,Germany
2504,276,40,2477804.837,1396230.0,3934839.229,2391050.0,0.6297092950427123,-0.41422391158817445,0.41422391158817445,1752147.3341749995,Germany,Austria
2504,276,76,9978503.178,4280560.0,9402489.0,4154200.0,1.0612618826780866,-0.01277964402038449,0.01277964402038449,129172.49699999951,Germany,Brazil
2504,276,156,15590460.265,10615645.734,7014568.0,7091272.0,2.2225830963503386,1.0675191593956637,1.0675191593956637,8049799.665000001,Germany,China
2504,276,203,1105074.535,949383.0,1794821.0,1673922.303,0.6157018081468848,-0.42725413195638623,0.42725413195638623,824358.04,Germany,Czechia
2504,276,842,2276237.923,321525.765,2171920.0,645402.0,1.0480302787395483,-0.025088112800420097,0.025088112800420097,58576.07700000005,Germany,USA
2504,360,156,2089678.0,3383202.0,1628350.0,3161891.0,1.2833100991801516,0.19377683644665272,0.19377683644665272,339201.75,Indonesia,China
2504,380,40,1445756.703,711128.0,1173225.11,750985.0,1.232292669733262,0.14631876254256926,0.14631876254256926,184539.70974999992,Italy,Austria
2504,380,276,2368675.696,987916.0,1927068.754,841635.0,1.2291599306373269,0.14340458663937392,0.14340458663937392,297076.7854500001,Italy,Germany
2504,392,156,73925611.246,46964000.0,74327493.0,78369985.0,0.9945930941865617,-0.07479712168691927,0.07479712168691927,5976443.728999987,Japan,China
2504,392,842,1618314.079,291548.515,1810422.0,321735.0,0.8938877670509969,-0.16847649576651447,0.16847649576651447,327889.571,Japan,USA
2504,410,156,106828338.0,51321534.575,105525069.0,52217872.0,1.0123503259685147,-0.058278766540916585,0.058278766540916585,6611111.174999997,Rep. of Korea,China
2504,484,842,5149400.0,0.0,7120044.0,3268116.0,0.7232258677053119,-0.32723175097180285,0.32723175097180285,2504647.3,Mexico,USA
2504,528,156,2314987.465,1348031.0,3904766.0,4983510.0,0.5928620216934894,-0.44850044493628893,0.44850044493628893,1882635.9850000003,Netherlands,China
2504,528,842,1209631.424,724616.0,1091903.0,178661.0,1.1078194894601445,0.030529757637343807,0.030529757637343807,35835.699000000255,Netherlands,USA
2504,616,76,1712909.0,1011148.0,1111092.0,694584.0,1.5416446162874002,0.43408801515107004,0.43408801515107004,518485.1000000001,Poland,Brazil
2504,616,156,22697278.0,5154304.0,1228652.0,1000590.0,18.473317098739106,16.184481022082892,16.184481022082892,21376477.1,Poland,China
2504,616,276,2713636.0,1068180.982,2913905.135,1292374.0,0.9312712234195641,-0.13370118751668453,0.13370118751668453,418812.0201249998,Poland,Germany
2504,699,156,15183430.687,24689968.0,11572753.0,22461136.0,1.3119981638768234,0.22046340825751026,0.22046340825751026,2742721.212000001,India,China
2504,704,156,1695591.22,1010602.121,1455390.0,1137909.0,1.1650425109420843,0.08376047529496208,0.08376047529496208,131046.96999999997,Viet Nam,China
2504,724,156,1313458.016,1296207.0,1303874.0,1765847.0,1.0073504157610322,-0.06292984580369103,0.06292984580369103,88206.53399999999,Spain,China
2504,724,276,1288866.302,551889.916,1188439.275,467892.0,1.0845032885672683,0.00884026843466814,0.00884026843466814,11294.081375000067,Spain,Germany
2504,752,276,3092318.549,1001007.085,2120654.634,569761.0,1.4581905508900512,0.35645632640935,0.35645632640935,812614.81745,Sweden,Germany
2504,792,276,1975811.0,1276353.0,3770917.779,2828010.0,0.5239602441090508,-0.5125951217590224,0.5125951217590224,2077925.612425,Türkiye,Germany
2504,826,276,1238643.631,838665.64,1234899.363,931457.192,1.0030320430248696,-0.0669469367210514,0.0669469367210514,88873.18422499974,United Kingdom,Germany
2504,842,76,5177901.0,2604766.0,4996650.0,2290771.0,1.0362745039176249,-0.03602371728593041,0.03602371728593041,193497.75,USA,Brazil
2504,842,124,11180467.0,7252159.764,11193647.844,7254732.819,0.998822471085057,-0.07086281759529584,0.07086281759529584,852704.4322999995,USA,Canada
2504,842,156,113270155.0,29148009.0,53748797.0,16719320.0,2.1073988874578906,0.9603710581003633,0.9603710581003633,55490198.225,USA,China
